"GP","FTM","MIN","FG.","TOV","TARGET_5Yrs"
2,2,2,2,2,"Yes"
2,2,2,2,2,"Yes"
2,3,3,2,2,"Yes"
2,2,2,2,2,"Yes"
2,2,1,2,2,"No"
2,2,2,2,1,"Yes"
2,3,2,2,3,"Yes"
2,1,1,2,1,"Yes"
1,2,2,1,2,"No"
3,2,3,2,2,"Yes"
2,3,3,2,3,"Yes"
3,2,2,2,3,"Yes"
3,3,3,2,3,"Yes"
2,1,1,1,1,"No"
2,2,1,2,2,"Yes"
3,1,2,2,2,"Yes"
3,3,3,2,2,"Yes"
3,2,2,2,2,"Yes"
1,1,1,2,1,"Yes"
1,2,1,2,2,"Yes"
2,2,3,2,2,"No"
2,2,2,1,2,"Yes"
1,2,2,2,1,"Yes"
3,3,3,2,2,"Yes"
3,2,2,2,2,"Yes"
3,3,3,2,3,"Yes"
3,2,2,2,1,"No"
1,1,1,2,1,"Yes"
1,1,1,2,2,"No"
1,2,2,2,2,"Yes"
1,2,1,2,2,"No"
2,1,2,1,1,"No"
3,2,2,2,2,"Yes"
3,2,3,2,3,"Yes"
2,2,1,1,2,"No"
3,3,2,2,2,"Yes"
2,2,2,2,2,"Yes"
1,1,1,1,2,"Yes"
1,1,1,1,1,"No"
1,2,2,1,2,"No"
2,2,2,2,2,"No"
1,2,1,1,1,"Yes"
1,2,1,1,1,"Yes"
2,2,2,2,2,"No"
2,1,1,2,1,"Yes"
1,3,3,2,3,"Yes"
2,2,2,2,2,"Yes"
2,2,3,2,2,"No"
3,3,3,2,3,"Yes"
3,3,3,2,3,"Yes"
2,2,2,2,2,"Yes"
2,2,2,2,2,"No"
2,3,3,2,3,"Yes"
3,1,2,2,2,"Yes"
3,3,3,2,3,"Yes"
3,2,2,1,2,"Yes"
1,1,1,2,1,"Yes"
2,2,2,2,1,"Yes"
2,3,2,2,2,"No"
2,1,1,1,2,"No"
2,2,1,2,2,"Yes"
2,3,2,2,2,"No"
2,3,2,2,2,"No"
2,1,2,2,2,"No"
2,1,2,2,1,"Yes"
2,1,1,2,1,"No"
1,2,2,2,2,"Yes"
1,2,1,2,1,"No"
3,2,3,2,3,"Yes"
3,3,3,2,3,"Yes"
2,2,2,2,1,"Yes"
2,2,2,2,2,"No"
3,2,2,2,2,"Yes"
3,3,3,2,3,"Yes"
2,2,2,2,2,"Yes"
2,3,2,2,2,"Yes"
3,3,3,2,3,"Yes"
2,3,3,2,3,"Yes"
1,2,2,2,3,"No"
1,1,1,1,2,"Yes"
2,3,3,2,3,"Yes"
2,2,2,2,2,"No"
1,2,2,2,1,"Yes"
2,2,3,1,2,"No"
2,2,3,1,2,"Yes"
1,3,3,2,3,"No"
1,2,2,2,2,"No"
3,1,2,1,1,"Yes"
2,3,3,2,3,"No"
1,1,1,2,1,"No"
3,2,3,1,3,"Yes"
2,1,2,1,2,"Yes"
1,2,2,2,3,"No"
3,2,3,2,1,"Yes"
2,2,2,2,2,"Yes"
2,2,2,2,2,"Yes"
3,2,3,2,2,"Yes"
2,2,2,2,1,"Yes"
2,3,3,2,3,"Yes"
1,1,1,1,1,"No"
1,2,3,2,2,"Yes"
1,2,2,1,2,"Yes"
1,2,2,1,2,"Yes"
2,1,2,2,2,"No"
2,2,2,2,1,"Yes"
1,2,2,2,1,"No"
2,3,2,2,2,"Yes"
2,2,3,1,3,"Yes"
2,2,1,2,2,"Yes"
2,2,2,2,2,"Yes"
1,1,1,2,1,"Yes"
3,3,3,1,3,"Yes"
2,2,2,2,1,"Yes"
3,2,3,2,3,"Yes"
3,3,3,2,3,"Yes"
2,2,3,1,3,"Yes"
2,2,2,2,2,"Yes"
2,2,2,2,2,"No"
2,2,3,1,3,"No"
3,3,3,2,3,"Yes"
3,2,2,2,3,"Yes"
2,2,2,2,2,"Yes"
3,3,3,2,2,"Yes"
2,2,2,2,1,"No"
3,3,3,2,3,"Yes"
2,2,2,2,2,"No"
2,2,2,2,1,"No"
2,2,2,2,2,"Yes"
1,2,2,3,1,"Yes"
2,3,2,1,2,"No"
2,1,1,3,1,"Yes"
1,1,1,1,1,"Yes"
1,1,1,1,2,"No"
1,2,2,2,2,"No"
2,2,2,1,2,"No"
1,2,1,2,1,"Yes"
1,1,1,2,1,"No"
2,2,2,2,2,"Yes"
2,2,1,2,2,"Yes"
3,3,2,2,3,"No"
2,2,1,2,2,"Yes"
1,1,1,1,1,"Yes"
2,3,3,2,3,"Yes"
2,2,2,1,2,"Yes"
2,2,2,2,2,"No"
3,2,1,1,2,"Yes"
2,1,1,2,1,"Yes"
2,2,2,2,2,"No"
1,2,1,2,1,"Yes"
2,2,2,2,2,"No"
2,3,2,2,2,"Yes"
2,1,2,1,1,"Yes"
3,3,3,2,3,"Yes"
1,1,1,1,1,"No"
3,3,3,2,3,"Yes"
2,1,3,2,2,"Yes"
3,2,2,2,2,"Yes"
2,2,2,2,3,"Yes"
1,2,1,2,2,"Yes"
2,2,2,2,2,"No"
1,1,2,1,2,"No"
2,2,2,2,2,"Yes"
2,2,2,2,1,"Yes"
1,2,2,1,2,"No"
2,1,1,2,1,"Yes"
2,3,2,2,1,"No"
2,2,1,2,2,"Yes"
1,2,1,2,2,"No"
2,2,2,2,2,"Yes"
3,2,2,2,3,"Yes"
2,2,1,2,2,"Yes"
1,1,1,1,1,"No"
1,1,1,2,1,"No"
3,3,2,2,2,"Yes"
1,1,2,2,1,"Yes"
2,3,3,2,3,"No"
1,2,3,1,3,"No"
1,1,1,2,1,"Yes"
1,2,2,2,1,"No"
3,3,3,2,2,"Yes"
2,1,1,2,1,"No"
1,1,2,2,1,"No"
2,2,3,2,2,"Yes"
2,3,3,2,3,"Yes"
1,2,2,1,2,"Yes"
2,1,2,1,1,"No"
2,1,2,2,1,"Yes"
2,1,2,2,1,"No"
2,2,1,1,1,"No"
2,2,2,2,1,"No"
3,2,3,2,2,"No"
2,3,3,2,3,"Yes"
2,1,2,1,2,"Yes"
3,3,3,2,3,"No"
2,2,3,2,1,"Yes"
1,2,2,2,1,"No"
2,2,2,2,1,"No"
2,2,2,2,2,"No"
1,1,2,1,1,"No"
2,3,3,2,3,"Yes"
2,1,1,2,1,"No"
3,3,3,2,3,"Yes"
2,2,2,2,1,"Yes"
3,3,3,2,3,"Yes"
2,3,3,1,3,"Yes"
2,2,2,2,3,"Yes"
2,1,1,1,1,"No"
2,2,2,1,2,"Yes"
2,2,2,2,2,"Yes"
1,1,1,2,1,"No"
1,2,2,1,2,"No"
2,3,3,2,3,"Yes"
2,3,3,1,3,"Yes"
2,3,3,2,2,"Yes"
3,1,2,1,1,"No"
3,3,3,2,3,"Yes"
1,1,1,1,1,"No"
3,3,3,2,3,"Yes"
3,2,3,2,2,"Yes"
3,3,3,2,3,"Yes"
2,2,2,2,2,"No"
3,3,3,2,2,"Yes"
2,1,2,2,2,"No"
3,2,2,2,2,"Yes"
1,1,1,1,1,"Yes"
2,2,2,1,2,"No"
3,2,2,2,2,"Yes"
2,2,2,1,2,"No"
2,3,2,2,3,"Yes"
1,1,1,1,1,"No"
2,3,3,1,3,"Yes"
2,2,2,1,2,"No"
2,2,3,2,3,"Yes"
2,2,2,2,1,"Yes"
2,2,2,2,2,"Yes"
2,2,2,2,2,"Yes"
2,2,2,2,2,"Yes"
2,2,2,1,2,"Yes"
1,1,1,1,1,"No"
2,1,2,1,1,"Yes"
2,1,2,2,1,"Yes"
3,2,3,2,2,"Yes"
2,2,2,2,2,"No"
1,1,2,1,1,"No"
2,2,2,2,1,"Yes"
3,3,3,1,3,"Yes"
2,1,1,1,2,"No"
3,2,3,2,2,"Yes"
1,1,1,2,1,"No"
2,2,2,2,3,"Yes"
2,2,2,2,3,"No"
3,3,3,2,3,"Yes"
3,3,3,2,3,"No"
3,3,3,2,3,"No"
2,2,2,2,2,"Yes"
1,1,1,2,1,"No"
2,1,2,2,1,"No"
3,3,3,2,3,"Yes"
2,2,2,2,2,"Yes"
2,3,2,2,2,"Yes"
1,2,2,2,2,"No"
1,2,1,1,1,"No"
3,3,3,2,3,"Yes"
3,3,2,2,3,"Yes"
1,2,2,2,1,"Yes"
2,2,2,2,2,"Yes"
1,1,1,1,1,"Yes"
2,2,1,2,2,"No"
2,2,2,2,2,"Yes"
3,2,3,1,3,"Yes"
1,1,2,1,2,"Yes"
2,1,1,2,1,"No"
1,1,2,1,1,"No"
2,2,2,2,2,"Yes"
2,2,2,2,2,"No"
2,2,1,1,1,"Yes"
2,2,3,2,2,"Yes"
1,1,1,2,1,"Yes"
2,1,1,1,1,"No"
2,2,2,2,2,"No"
2,2,2,2,2,"Yes"
2,1,2,1,1,"No"
2,2,2,2,2,"Yes"
2,1,1,2,1,"Yes"
3,2,3,2,2,"Yes"
1,2,1,2,1,"No"
1,1,1,1,1,"No"
2,2,2,2,3,"Yes"
1,2,2,2,2,"No"
1,2,2,1,2,"No"
1,2,2,1,2,"No"
2,2,1,2,2,"Yes"
2,2,2,2,2,"Yes"
2,2,2,1,2,"No"
3,2,2,2,3,"Yes"
2,3,3,2,3,"Yes"
3,2,2,1,2,"Yes"
2,2,2,2,3,"Yes"
1,2,2,2,1,"No"
1,1,1,1,1,"No"
2,2,3,1,2,"No"
2,3,3,2,2,"Yes"
3,2,2,1,3,"No"
3,2,2,1,3,"No"
3,2,2,1,3,"No"
3,3,3,2,3,"Yes"
1,3,2,2,2,"Yes"
2,1,1,2,1,"No"
3,2,2,2,1,"Yes"
2,3,3,2,3,"Yes"
2,2,2,2,2,"Yes"
2,2,2,2,1,"Yes"
1,1,1,2,1,"Yes"
1,2,1,2,1,"Yes"
1,2,1,2,2,"No"
1,2,1,2,2,"Yes"
1,2,1,2,1,"No"
1,2,1,2,1,"Yes"
1,2,1,2,2,"No"
1,2,1,2,2,"Yes"
2,2,1,1,1,"No"
2,2,1,1,2,"No"
2,2,1,1,2,"Yes"
2,2,1,1,1,"No"
2,2,1,1,1,"Yes"
2,2,1,1,2,"No"
3,2,2,2,3,"Yes"
3,3,3,2,3,"Yes"
2,1,1,2,1,"Yes"
1,1,1,2,2,"Yes"
2,2,2,2,3,"Yes"
1,2,1,2,2,"No"
2,1,1,2,1,"No"
1,2,2,1,1,"No"
1,2,2,2,2,"No"
2,2,2,2,2,"Yes"
2,1,1,1,1,"No"
2,3,3,2,3,"No"
2,2,2,1,1,"Yes"
1,1,1,1,1,"No"
2,2,2,3,2,"No"
3,2,2,1,3,"Yes"
1,2,2,2,2,"Yes"
1,1,2,1,1,"No"
2,3,2,2,2,"Yes"
3,2,3,2,2,"Yes"
2,2,3,2,2,"Yes"
2,2,2,2,2,"Yes"
2,3,3,2,3,"Yes"
2,2,2,2,1,"Yes"
1,2,2,2,2,"No"
1,2,2,2,3,"No"
2,2,2,2,2,"No"
2,2,2,2,3,"No"
3,3,3,2,2,"Yes"
2,2,3,2,2,"Yes"
2,2,2,2,1,"Yes"
2,1,2,1,2,"No"
3,3,3,2,3,"Yes"
2,2,1,2,2,"Yes"
2,2,1,2,2,"No"
2,2,1,2,2,"No"
2,2,1,2,2,"Yes"
2,2,1,2,2,"No"
2,2,1,2,2,"Yes"
3,2,2,2,2,"No"
3,2,2,2,2,"Yes"
3,2,2,2,2,"No"
3,2,2,2,2,"Yes"
3,2,2,2,2,"Yes"
2,1,1,1,2,"Yes"
1,1,1,2,1,"No"
2,3,3,2,3,"Yes"
2,2,2,2,2,"Yes"
2,2,3,2,3,"Yes"
3,2,2,2,2,"Yes"
3,2,2,2,2,"Yes"
3,2,2,2,2,"Yes"
2,3,3,2,3,"No"
1,2,1,2,2,"Yes"
1,2,1,1,1,"No"
1,1,1,1,1,"No"
3,2,3,2,3,"Yes"
2,1,2,2,1,"No"
1,2,1,2,1,"Yes"
1,1,1,1,1,"No"
3,1,2,2,1,"Yes"
2,1,1,2,2,"Yes"
1,2,1,2,1,"No"
1,2,2,2,2,"No"
3,3,3,2,3,"Yes"
2,2,2,2,2,"Yes"
1,1,2,2,2,"Yes"
2,2,3,1,3,"Yes"
2,1,1,2,1,"Yes"
3,2,2,2,2,"Yes"
3,2,2,1,2,"Yes"
1,1,1,1,2,"No"
2,2,2,2,2,"No"
1,1,1,1,1,"No"
1,1,1,1,1,"Yes"
2,1,2,2,2,"No"
3,2,2,2,2,"Yes"
2,2,2,2,2,"Yes"
1,1,2,1,2,"No"
2,2,2,1,3,"Yes"
3,3,3,2,3,"Yes"
2,2,2,2,3,"Yes"
2,1,2,1,1,"No"
2,2,2,2,2,"No"
1,1,1,1,1,"No"
2,1,2,2,2,"No"
3,2,3,2,2,"Yes"
1,2,2,1,1,"No"
2,1,1,1,1,"Yes"
1,2,2,2,2,"Yes"
2,3,3,2,3,"No"
2,1,2,2,1,"Yes"
2,2,2,2,2,"Yes"
2,2,1,2,2,"No"
3,2,2,2,2,"Yes"
2,3,3,2,3,"Yes"
3,2,2,2,3,"Yes"
3,2,2,2,2,"No"
2,2,1,2,1,"No"
2,1,2,1,2,"No"
3,2,2,2,2,"Yes"
1,1,1,2,2,"No"
1,1,1,1,1,"No"
2,1,2,1,1,"No"
2,1,2,2,1,"Yes"
3,2,2,2,1,"Yes"
2,1,1,2,1,"No"
3,2,3,2,3,"Yes"
2,1,1,1,1,"Yes"
3,3,2,2,3,"Yes"
2,2,2,2,3,"Yes"
2,2,2,1,2,"Yes"
1,1,1,1,1,"No"
2,1,2,1,1,"No"
2,2,3,2,3,"Yes"
3,3,3,2,3,"Yes"
2,1,2,2,2,"No"
2,1,1,2,1,"No"
1,1,1,1,1,"No"
1,1,1,1,1,"No"
2,2,2,2,2,"Yes"
2,2,1,2,1,"Yes"
3,3,2,2,2,"Yes"
1,2,3,1,3,"Yes"
1,2,3,1,3,"Yes"
1,2,3,1,3,"Yes"
2,3,3,2,2,"Yes"
2,1,1,2,1,"Yes"
3,1,2,2,2,"Yes"
2,2,2,2,2,"Yes"
3,3,3,2,2,"Yes"
2,2,2,2,1,"No"
2,1,1,2,1,"No"
1,2,2,1,2,"Yes"
2,2,1,1,2,"No"
1,1,1,1,1,"Yes"
2,1,2,2,1,"Yes"
1,1,2,2,1,"Yes"
2,3,2,2,2,"No"
1,2,2,2,2,"Yes"
1,2,2,1,2,"No"
1,2,2,1,1,"No"
2,3,2,2,3,"No"
2,1,2,1,1,"No"
3,3,3,2,3,"Yes"
2,2,2,2,2,"Yes"
2,2,1,2,1,"Yes"
3,3,3,2,3,"Yes"
3,3,2,2,3,"Yes"
2,2,2,2,1,"Yes"
3,3,3,2,2,"Yes"
1,2,3,1,1,"No"
1,1,1,1,1,"No"
3,2,2,2,3,"Yes"
2,3,2,1,2,"Yes"
2,3,2,1,3,"No"
1,2,2,2,2,"Yes"
2,1,2,1,2,"No"
3,3,3,2,3,"Yes"
3,3,3,2,3,"Yes"
1,2,2,2,2,"No"
2,2,2,2,1,"Yes"
2,2,1,2,2,"Yes"
2,2,2,2,2,"Yes"
1,1,1,1,1,"No"
2,2,2,2,2,"Yes"
2,2,2,2,2,"Yes"
3,3,3,2,3,"Yes"
3,2,2,2,2,"No"
1,2,1,2,1,"No"
2,2,2,1,2,"Yes"
2,3,2,2,2,"Yes"
2,1,1,1,1,"No"
2,3,3,2,3,"Yes"
2,2,2,2,2,"Yes"
3,3,3,2,2,"Yes"
2,2,1,1,2,"Yes"
2,2,2,2,2,"No"
1,1,2,2,2,"No"
1,1,1,1,1,"Yes"
1,1,1,1,1,"Yes"
2,1,1,2,1,"Yes"
3,3,3,2,2,"Yes"
1,1,1,1,2,"No"
2,1,1,2,2,"Yes"
2,3,3,2,3,"Yes"
1,1,1,1,1,"No"
2,2,2,2,2,"No"
2,2,2,1,3,"Yes"
1,1,1,2,1,"Yes"
1,1,2,1,1,"No"
1,2,1,2,1,"No"
2,2,2,1,3,"No"
3,3,3,2,3,"Yes"
3,3,3,2,3,"Yes"
3,3,3,2,3,"No"
3,2,2,2,2,"Yes"
2,2,3,2,2,"Yes"
1,1,2,2,1,"Yes"
1,2,2,2,1,"No"
2,2,2,1,2,"Yes"
2,2,2,2,2,"Yes"
3,2,2,2,2,"No"
2,2,2,1,3,"Yes"
1,1,1,2,1,"No"
2,2,2,2,1,"Yes"
2,2,3,2,3,"Yes"
2,2,2,1,2,"Yes"
1,2,2,1,2,"No"
2,1,2,2,2,"Yes"
3,3,2,2,3,"Yes"
3,3,3,2,3,"Yes"
3,3,2,2,2,"Yes"
2,2,3,1,3,"No"
2,3,2,2,2,"Yes"
2,2,1,1,1,"No"
1,1,1,1,1,"No"
2,3,3,2,3,"Yes"
1,2,1,1,1,"No"
3,2,2,2,2,"Yes"
2,2,1,2,1,"Yes"
2,1,1,2,1,"Yes"
1,1,1,1,1,"Yes"
1,1,1,2,1,"Yes"
2,2,3,1,3,"Yes"
3,1,2,2,3,"No"
2,2,2,2,2,"No"
2,2,2,2,2,"No"
1,1,1,1,1,"No"
